date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:29	121/121	---MC-	200	added ('OK')	text/plain	date:Wed,%2026%20Apr%202023%2016:35:28%20GMT	https://deborahugochukwu.com/robots.txt		(from )
17:35:31	84662/84662	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202023%2016:35:29%20GMT	https://deborahugochukwu.com/automate-your-income-webinar/	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/automate-your-income-webinar/index.html	(from )
17:35:32	704/704	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Apr%202020%2015:08:23%20GMT	https://deborahugochukwu.com/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.css?ver=2.5.1	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base9776.css	(from https://deborahugochukwu.com/automate-your-income-webinar/)
17:35:33	37633/37633	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202020%2001:02:24%20GMT	https://deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/jquery-ui.css?ver=1.12.1	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/jquery-ui35d0.css	(from https://deborahugochukwu.com/automate-your-income-webinar/)
17:35:34	72974/72974	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202020%2001:02:24%20GMT	https://deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/animate.min.css?ver=all	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/animate.mindc98.css	(from https://deborahugochukwu.com/automate-your-income-webinar/)
17:35:35	56463/56463	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202020%2001:02:24%20GMT	https://deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/font-awesome-5.min.css?ver=all	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/font-awesome-5.mindc98.css	(from https://deborahugochukwu.com/automate-your-income-webinar/)
17:35:36	18369/18369	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202020%2001:02:24%20GMT	https://deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/wppb-fonts.css?ver=all	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/wppb-fontsdc98.css	(from https://deborahugochukwu.com/automate-your-income-webinar/)
17:35:37	98346/98346	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202020%2001:02:24%20GMT	https://deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/wppb-addons.css?ver=all	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/wppb-addonsdc98.css	(from https://deborahugochukwu.com/automate-your-income-webinar/)
17:35:37	10461/10461	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202020%2001:02:24%20GMT	https://deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/wppb-main.css?ver=all	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/wp-content/plugins/wp-pagebuilder/assets/css/wppb-maindc98.css	(from https://deborahugochukwu.com/automate-your-income-webinar/)
17:35:37	58171/58171	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2012:46:44%20GMT	https://deborahugochukwu.com/wp-includes/css/dist/block-library/style.min.css?ver=5.7.8	C:/My%20Web%20Sites/Digi%20Market/deborahugochukwu.com/wp-includes/css/dist/block-library/style.mind988.css	(from https://deborahugochukwu.com/automate-your-income-webinar/)
